taxon	n_methods	mean_rank	rank_std	rank_range	top5_fraction	sign_stable	pseudocount_stable	stability_score
Pseudomonas guangdongensis	11	101.73	58.01	142.0	0.0	False	False	0.147
Flavobacterium haoranii	11	101.91	64.62	180.0	0.0	True	False	0.134
Erwinia piriflorinigrans	11	101.91	69.46	174.0	0.0	True	False	0.1258
Mariniblastus fucicola	11	102.0	65.11	182.0	0.0	True	False	0.1331
Acinetobacter indicus	11	102.45	34.24	109.0	0.0	False	False	0.226
Pseudomonas alloputida	11	102.55	52.05	133.0	0.0	False	False	0.1612
Massilia rhizosphaerae	11	102.55	55.83	145.0	0.0	False	False	0.1519
Limnoglobus roseus	11	102.73	53.02	139.0	0.0	False	False	0.1587
Massilia haematophila	11	103.55	44.61	106.0	0.0	False	False	0.1831
Massilia arvi	11	103.55	55.91	144.0	0.0	False	False	0.1517
Pseudomonas zeshuii	11	104.09	56.57	140.0	0.0	False	False	0.1502
Pantoea alhagi	11	104.18	53.19	134.0	0.0	False	False	0.1582
Pseudomonas viridiflava	11	104.18	57.47	138.0	0.0	False	False	0.1482
Massilia pinisoli	11	104.27	53.57	143.0	0.0	False	False	0.1573
Vibrio pelagius	11	105.0	53.36	145.0	0.0	False	False	0.1578
Anatilimnocola aggregata	11	105.36	40.77	131.0	0.0	False	False	0.197
Janibacter endophyticus	11	105.45	31.01	112.0	0.0	False	False	0.2439
Unknown	11	106.82	69.17	175.0	0.0	True	False	0.1263
Pseudomonas bijieensis	11	107.18	44.07	102.0	0.0	False	False	0.185
Lewinella cohaerens	11	107.27	29.23	109.0	0.0	False	False	0.2549
Massilia alkalitolerans	11	107.82	28.15	106.0	0.0	False	False	0.2621
Pseudomonas humi	11	108.0	46.88	111.0	0.0	False	False	0.1758
Pseudomonas oleovorans	11	108.09	45.26	108.0	0.0	False	False	0.1809
Moraxella atlantae	11	109.18	28.63	104.0	0.0	False	False	0.2589
Pseudomonas mendocina	11	109.36	43.18	101.0	0.0	False	False	0.188
Moraxella lacunata	11	110.64	26.49	91.0	0.0	False	False	0.2741
Pseudomonas delhiensis	11	112.27	33.59	111.0	0.0	False	False	0.2294
Pseudomonas caricapapayae	11	113.91	32.2	110.0	0.0	False	False	0.2369
Pseudomonas fluvialis	11	114.64	33.61	111.0	0.0	False	False	0.2293
Providencia stuartii	11	114.91	62.18	179.0	0.0	False	False	0.1385
Pseudomonas massiliensis	11	115.36	33.56	115.0	0.0	False	False	0.2296
Pseudomonas mediterranea	11	115.45	49.08	140.0	0.0	False	False	0.1693
Pseudomonas tolaasii	11	116.18	51.63	138.0	0.0	False	False	0.1623
Pseudomonas seleniipraecipitans	11	116.73	33.96	105.0	0.0	False	False	0.2275
Pseudomonas luteola	11	117.27	33.51	111.0	0.0	False	False	0.2299
Cronobacter muytjensii	11	118.18	67.59	174.0	0.0	True	False	0.1289
Salinirepens amamiensis	11	118.18	36.63	113.0	0.0	False	False	0.2144
Pseudomonas oryzae	11	118.18	52.46	139.0	0.0	False	False	0.1601
Marivita roseacus	11	118.36	64.92	172.0	0.0	True	False	0.1335
Pseudomonas extremorientalis	11	118.45	53.71	141.0	0.0	False	False	0.157
Pseudomonas syringae	11	118.64	33.78	107.0	0.0	False	False	0.2284
Pseudomonas duriflava	11	118.73	50.86	129.0	0.0	False	False	0.1643
Pseudomonas mucidolens	11	119.0	34.82	114.0	0.0	False	False	0.2231
Pseudomonas schmalbachii	11	119.55	34.03	109.0	0.0	False	False	0.2271
Pseudomonas carbonaria	11	119.55	49.87	139.0	0.0	False	False	0.167
Pseudomonas tarimensis	11	119.73	50.61	124.0	0.0	False	False	0.165
Pseudomonas frederiksbergensis	11	120.27	50.57	139.0	0.0	False	False	0.1651
Pseudomonas psychrophila	11	120.55	56.66	144.0	0.0	False	False	0.15
Pseudomonas phenolilytica	11	122.0	53.27	138.0	0.0	False	False	0.158
Pseudomonas pharmacofabricae	11	122.55	53.18	140.0	0.0	False	False	0.1583
Pseudomonas putida	11	124.0	52.21	130.0	0.0	False	False	0.1608
Pseudomonas alcaligenes	11	129.09	55.07	177.0	0.0	False	False	0.1537
Rahnella bonaserana	11	131.55	49.21	139.0	0.0	False	False	0.1689
Tatumella terrea	11	132.55	54.23	137.0	0.0	False	False	0.1557
