taxon	Jumper	Laggard	fold_diff	direction	contaminant_flag	contamination_score	contamination_risk	pseudocount_stable	pseudocount_stability_score	pseudocount_mean_rank	pseudocount_rank_std	sign_stable	top5_stable_pseudocount	loto_top5_stability	loto_mean_rank_shift	loto_influence_score	is_high_leverage	pseudocount_score	loto_score	combined_stability	stability_tier
Mesorhizobium septentrionale	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.186	76.45	43.75	False	0.0	0.0	0.46	0.001186	False	0.186	0.9954	0.5907	MEDIUM
Methylococcus capsulatus	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1744	80.18	47.32	False	0.0	0.0	-0.49	0.004834	False	0.1744	0.9951	0.5848	MEDIUM
Methylotenera mobilis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1909	74.18	42.37	False	0.0	0.0	-10.55	0.001186	False	0.1909	0.8945	0.5427	MEDIUM
Novispirillum itersonii	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2068	72.55	38.36	False	0.0	0.0	-2.61	0.001186	False	0.2068	0.9739	0.5904	MEDIUM
Pantoea agglomerans	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1693	80.45	49.06	False	0.0	0.0	2.9	0.004834	False	0.1693	0.971	0.5701	MEDIUM
Pantoea dispersa	3	0		Jumper-exclusive	False	0.1335	LOW	False	0.1421	82.0	60.36	False	0.0	0.0	0.13	0.006968	False	0.1421	0.9987	0.5704	MEDIUM
Paracoccus salipaludis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1872	72.91	43.42	False	0.0	0.0	1.06	0.001186	False	0.1872	0.9894	0.5883	MEDIUM
Pectobacterium polaris	3	0		Jumper-exclusive	False	0.1335	LOW	False	0.1419	82.73	60.45	False	0.0	0.0	-0.11	0.006968	False	0.1419	0.9989	0.5704	MEDIUM
Pelagerythrobacter marensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1868	70.18	43.54	False	0.0	0.0	0.54	0.001186	False	0.1868	0.9946	0.5907	MEDIUM
Peptoniphilus faecalis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1932	69.09	41.75	False	0.0	0.0	-2.19	0.001186	False	0.1932	0.9781	0.5856	MEDIUM
Phaeocystidibacter luteus	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1918	70.18	42.13	False	0.0	0.0	1.44	0.001186	False	0.1918	0.9856	0.5887	MEDIUM
Phaeodactylibacter luteus	3	0		Jumper-exclusive	False	0.1335	LOW	False	0.1436	82.73	59.62	False	0.0	0.0	-0.26	0.006968	False	0.1436	0.9974	0.5705	MEDIUM
Phycisphaera mikurensis	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1712	83.64	48.41	False	0.0	0.0	-3.56	0.004834	False	0.1712	0.9644	0.5678	MEDIUM
Phytobacter diazotrophicus	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1903	72.91	42.54	False	0.0	0.0	-0.29	0.001186	False	0.1903	0.9971	0.5937	MEDIUM
Pontibacter roseus	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1926	71.64	41.92	False	0.0	0.0	-1.62	0.001186	False	0.1926	0.9838	0.5882	MEDIUM
Proteus faecis	3	0		Jumper-exclusive	False	0.1335	LOW	False	0.1423	83.0	60.25	False	0.0	0.0	-0.04	0.006968	False	0.1423	0.9996	0.571	MEDIUM
Pseudoalteromonas arabiensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2046	69.73	38.87	False	0.0	0.0	3.85	0.001186	False	0.2046	0.9615	0.5831	MEDIUM
Pseudoalteromonas fenneropenaei	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1697	82.91	48.92	False	0.0	0.0	-0.09	0.004834	False	0.1697	0.9991	0.5844	MEDIUM
Pseudoalteromonas luteoviolacea	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1953	70.45	41.21	False	0.0	0.0	-1.15	0.001186	False	0.1953	0.9885	0.5919	MEDIUM
Pseudoalteromonas peptidolytica	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2071	66.91	38.28	False	0.0	0.0	-0.62	0.001186	False	0.2071	0.9938	0.6004	MEDIUM
Pseudoalteromonas phenolica	10	0		Jumper-exclusive	False	0.0366	LOW	False	0.1107	72.73	80.29	False	0.273	0.0	-0.03	0.013305	False	0.1107	0.9997	0.5552	MEDIUM
Pseudoalteromonas telluritireducens	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2193	69.36	35.6	False	0.0	0.0	1.99	0.001186	False	0.2193	0.9801	0.5997	MEDIUM
Pseudoalteromonas translucida	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.2083	67.73	38.02	False	0.0	0.0	-0.26	0.001186	False	0.2083	0.9974	0.6028	MEDIUM
Pseudoalteromonas xiamenensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.194	74.82	41.56	False	0.0	0.0	-7.78	0.001186	False	0.194	0.9222	0.5581	MEDIUM
Pseudomonas arcuscaelestis	2	0		Jumper-exclusive	True	0.1976	LOW	False	0.1734	83.18	47.69	False	0.0	0.0	-2.22	0.004834	False	0.1734	0.9778	0.5756	MEDIUM
Pseudomonas saponiphila	1	0		Jumper-exclusive	True	0.8646	HIGH	False	0.1986	89.73	40.36	False	0.0	0.0	-0.79	0.001186	False	0.1986	0.9921	0.5954	MEDIUM
Rahnella inusitata	4	0		Jumper-exclusive	False	0.0995	LOW	False	0.1247	83.36	70.19	False	0.0	0.0	-0.11	0.008483	False	0.1247	0.9989	0.5618	MEDIUM
Ralstonia pickettii	2	0		Jumper-exclusive	True	0.1976	LOW	False	0.1504	94.36	56.51	False	0.0	0.0	0.01	0.004834	False	0.1504	0.9999	0.5752	MEDIUM
Raoultella electrica	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1498	93.64	56.75	False	0.0	0.0	0.09	0.004834	False	0.1498	0.9991	0.5744	MEDIUM
Rhizorhapis suberifaciens	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1703	95.55	48.71	False	0.0	0.0	2.63	0.001186	False	0.1703	0.9737	0.572	MEDIUM
Ruegeria pomeroyi	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1457	92.64	58.64	False	0.0	0.0	-0.01	0.004834	False	0.1457	0.9999	0.5728	MEDIUM
Runella soli	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1584	96.64	53.15	False	0.0	0.0	-3.57	0.001186	False	0.1584	0.9643	0.5614	MEDIUM
Salipiger aestuarii	2	0		Jumper-exclusive	False	0.1976	LOW	False	0.1437	91.73	59.61	False	0.0	0.0	0.17	0.004834	False	0.1437	0.9983	0.571	MEDIUM
Serratia ficaria	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1683	92.27	49.4	False	0.0	0.0	2.55	0.001186	False	0.1683	0.9745	0.5714	MEDIUM
Serratia ureilytica	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1652	93.64	50.53	False	0.0	0.0	-0.91	0.001186	False	0.1652	0.9909	0.578	MEDIUM
Shewanella litorisediminis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.162	99.45	51.73	False	0.0	0.0	-5.54	0.001186	False	0.162	0.9446	0.5533	MEDIUM
Shewanella maritima	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1665	86.64	50.07	False	0.0	0.0	0.92	0.001186	False	0.1665	0.9908	0.5786	MEDIUM
Siccibacter turicensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1695	88.36	49.01	False	0.0	0.0	-4.3	0.001186	False	0.1695	0.957	0.5632	MEDIUM
Sphingomonas koreensis	1	0		Jumper-exclusive	True	0.8646	HIGH	False	0.1696	96.0	48.98	False	0.0	0.0	-11.88	0.001186	False	0.1696	0.8812	0.5254	MEDIUM
Stutzerimonas kunmingensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1682	93.91	49.45	False	0.0	0.0	0.03	0.001186	False	0.1682	0.9997	0.584	MEDIUM
Thalassotalea marina	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1639	93.55	50.99	False	0.0	0.0	-0.94	0.001186	False	0.1639	0.9906	0.5772	MEDIUM
Thiohalospira halophila	6	0		Jumper-exclusive	False	0.0733	LOW	False	0.1097	81.18	81.13	False	0.0	0.0	-0.07	0.010617	False	0.1097	0.9993	0.5545	MEDIUM
Thiomicrorhabdus heinhorstiae	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1677	96.36	49.63	False	0.0	0.0	0.01	0.001186	False	0.1677	0.9999	0.5838	MEDIUM
Trabulsiella guamensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1635	94.73	51.18	False	0.0	0.0	-0.97	0.001186	False	0.1635	0.9903	0.5769	MEDIUM
Vibrio cholerae	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1617	97.82	51.86	False	0.0	0.0	-3.58	0.001186	False	0.1617	0.9642	0.5629	MEDIUM
Vibrio litoralis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.159	100.82	52.9	False	0.0	0.0	-3.59	0.001186	False	0.159	0.9641	0.5616	MEDIUM
Vibrio pelagius	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1578	105.0	53.36	False	0.0	0.0	-0.98	0.001186	False	0.1578	0.9902	0.574	MEDIUM
Yersinia rochesterensis	1	0		Jumper-exclusive	False	0.8646	HIGH	False	0.1564	98.91	53.93	False	0.0	0.0	-2.3	0.001186	False	0.1564	0.977	0.5667	MEDIUM
Moraxella osloensis	1	35	-3.3126	Laggard-enriched	False	0.0079	LOW	False	0.1599	25.18	52.52	True	0.727	1.0	-0.01	0.017526	False	0.1599	0.9999	0.5799	MEDIUM
Exiguobacterium aestuarii	1	20	-2.753	Laggard-enriched	False	0.0131	LOW	False	0.1395	40.36	61.67	True	0.455	1.0	-0.02	0.014581	False	0.1395	0.9998	0.5696	MEDIUM
Flavobacterium haoranii	3	12	-1.1435	Laggard-enriched	True	0.0223	LOW	False	0.134	101.91	64.62	True	0.0	0.0	-3.79	0.00611	False	0.134	0.9621	0.548	MEDIUM
Mariniblastus fucicola	3	12	-1.1435	Laggard-enriched	False	0.0223	LOW	False	0.1331	102.0	65.11	True	0.0	0.0	-2.33	0.00611	False	0.1331	0.9767	0.5549	MEDIUM
Providencia stuartii	1	3	-0.8558	Laggard-enriched	False	0.0995	LOW	False	0.1385	114.91	62.18	False	0.0	0.0	-0.03	0.004596	False	0.1385	0.9997	0.5691	MEDIUM
Pseudomonas alcaligenes	2	5	-0.6735	Laggard-enriched	True	0.0615	LOW	False	0.1537	129.09	55.07	False	0.0	0.0	-0.34	0.003636	False	0.1537	0.9966	0.5752	MEDIUM
Pseudomonas tianjinensis	1	2	-0.4504	Laggard-enriched	True	0.1335	LOW	False	0.1566	138.0	53.84	False	0.0	0.0	-0.01	0.002462	False	0.1566	0.9999	0.5782	MEDIUM
Acinetobacter chinensis	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1714	94.45	48.35	False	0.0	0.0	0.31	0.001186	False	0.1714	0.9969	0.5841	MEDIUM
Acinetobacter indicus	0	2		Laggard-exclusive	True	0.1976	LOW	False	0.226	102.45	34.24	False	0.0	0.0	0.67	0.002462	False	0.226	0.9933	0.6096	MEDIUM
Aeromonas dhakensis	0	9		Laggard-exclusive	False	0.0432	LOW	False	0.1179	81.09	74.85	False	0.0	0.0	-0.01	0.010378	False	0.1179	0.9999	0.5589	MEDIUM
Aeromonas lusitana	0	6		Laggard-exclusive	False	0.0733	LOW	False	0.1265	84.82	69.04	False	0.0	0.0	-0.05	0.008244	False	0.1265	0.9995	0.563	MEDIUM
Anatilimnocola aggregata	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.197	105.36	40.77	False	0.0	0.0	-0.04	0.001186	False	0.197	0.9996	0.5983	MEDIUM
Azomonas agilis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.168	101.18	49.53	False	0.0	0.0	0.65	0.001186	False	0.168	0.9935	0.5808	MEDIUM
Azotobacter nigricans	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1691	93.18	49.12	False	0.0	0.0	0.09	0.001186	False	0.1691	0.9991	0.5841	MEDIUM
Brachybacterium aquaticum	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2482	101.09	30.29	False	0.0	0.0	-0.56	0.002462	False	0.2482	0.9944	0.6213	MEDIUM
Brenneria rubrifaciens	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.181	97.45	45.26	False	0.0	0.0	-2.67	0.001186	False	0.181	0.9733	0.5772	MEDIUM
Brevundimonas aurantiaca	0	5		Laggard-exclusive	False	0.0825	LOW	False	0.1398	92.27	61.55	False	0.0	0.0	-0.09	0.007284	False	0.1398	0.9991	0.5694	MEDIUM
Brevundimonas kwangchunensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1652	92.36	50.55	False	0.0	0.0	-0.01	0.001186	False	0.1652	0.9999	0.5826	MEDIUM
Citrobacter freundii	0	4		Laggard-exclusive	False	0.0995	LOW	False	0.1491	92.45	57.08	False	0.0	0.0	3.02	0.00611	False	0.1491	0.9698	0.5594	MEDIUM
Cupriavidus necator	0	7		Laggard-exclusive	False	0.0615	LOW	False	0.1237	83.27	70.86	False	0.0	0.0	-0.1	0.009055	False	0.1237	0.999	0.5614	MEDIUM
Cupriavidus plantarum	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2077	99.45	38.15	False	0.0	0.0	-2.51	0.002462	False	0.2077	0.9749	0.5913	MEDIUM
Cupriavidus yeoncheonensis	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1811	96.91	45.21	False	0.0	0.0	-5.19	0.001186	False	0.1811	0.9480999999999999	0.5646	MEDIUM
Cutibacterium acnes	0	91		Laggard-exclusive	False	0.0026	LOW	False	0.135	37.27	64.07	True	0.636	1.0	0.0	0.022555	False	0.135	1.0	0.5675	MEDIUM
Cutibacterium namnetense	0	9		Laggard-exclusive	False	0.0432	LOW	False	0.1179	80.82	74.85	False	0.0	0.0	-0.01	0.010378	False	0.1179	0.9999	0.5589	MEDIUM
Enterobacter cloacae	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1782	94.36	46.1	False	0.0	0.0	2.74	0.001186	False	0.1782	0.9726	0.5754	MEDIUM
Entomohabitans teleogrylli	0	2		Laggard-exclusive	False	0.1976	LOW	False	0.2057	101.0	38.62	False	0.0	0.0	-0.3	0.002462	False	0.2057	0.997	0.6014	MEDIUM
Entomomonas moraniae	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1732	91.64	47.74	False	0.0	0.0	1.78	0.001186	False	0.1732	0.9822	0.5777	MEDIUM
Exiguobacterium alkaliphilum	0	3		Laggard-exclusive	False	0.1335	LOW	False	0.1751	100.64	47.12	False	0.0	0.0	-0.09	0.004596	False	0.1751	0.9991	0.5871	MEDIUM
Exiguobacterium marinum	0	3		Laggard-exclusive	False	0.1335	LOW	False	0.1718	99.27	48.19	False	0.0	0.0	-0.38	0.004596	False	0.1718	0.9962	0.584	MEDIUM
Exiguobacterium undae	0	1		Laggard-exclusive	False	0.8646	HIGH	False	0.1732	92.45	47.73	False	0.0	0.0	-1.55	0.001186	False	0.1732	0.9845	0.5788	MEDIUM
Flavobacterium caeni	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1835	94.82	44.49	False	0.0	0.0	-0.14	0.001186	False	0.1835	0.9986	0.5911	MEDIUM
Flavobacterium dongtanense	0	1		Laggard-exclusive	True	0.8646	HIGH	False	0.1741	95.91	47.44	False	0.0	0.0	-0.59	0.001186	False	0.1741	0.9941	0.5841	MEDIUM
