taxon_idx	jumper_raw	laggard_raw	jumper_rel_abund	laggard_rel_abund	log2FC_posterior_mean	log2FC_posterior_median	log2FC_ci95_lower	log2FC_ci95_upper	log2FC_posterior_std	p_jumper_enriched	p_laggard_enriched	direction_bayesian	ci_excludes_zero	n_mcmc	taxon
73	3	12	0.5587	2.3576	-1.9102	-1.8634	-3.7586	-0.3499	0.8609	0.0072	0.9928	Laggard-enriched	True	20000	Mariniblastus fucicola
74	2	1	0.3724	0.1965	0.64	0.5768	-2.1255	3.7754	1.4719	0.6645	0.3355	Jumper-leaning (uncertain)	False	20000	Marivita roseacus
75	0	4	0.0	0.7859	-3.0897	-2.8389	-7.6327	0.0402	1.9376	0.0273	0.9727	Laggard-enriched	False	20000	Massilia agri
76	0	2	0.0	0.3929	-2.2337	-2.0169	-6.8815	1.2024	2.0361	0.1158	0.8842	Laggard-exclusive (low-count)	False	20000	Massilia alkalitolerans
77	0	11	0.0	2.1611	-4.4222	-4.1491	-8.9718	-1.5534	1.8716	0.0001	0.9999	Laggard-enriched	True	20000	Massilia arenae
78	0	1	0.0	0.1965	-1.5221	-1.3504	-6.3234	2.2843	2.1666	0.2332	0.7668	Laggard-exclusive (low-count)	False	20000	Massilia arvi
79	0	3	0.0	0.5894	-2.7096	-2.4544	-7.3486	0.5382	1.9977	0.0584	0.9416	Laggard-exclusive (low-count)	False	20000	Massilia haematophila
80	0	6	0.0	1.1788	-3.6324	-3.3775	-8.2518	-0.5931	1.9343	0.0069	0.9931	Laggard-enriched	True	20000	Massilia niastensis
81	0	1	0.0	0.1965	-1.5333	-1.3713	-6.3832	2.3381	2.176	0.2382	0.7619	Laggard-exclusive (low-count)	False	20000	Massilia norwichensis
82	0	1	0.0	0.1965	-1.5199	-1.3598	-6.2977	2.2914	2.1545	0.2357	0.7642	Laggard-exclusive (low-count)	False	20000	Massilia pinisoli
83	0	1	0.0	0.1965	-1.5273	-1.3534	-6.3374	2.3085	2.1637	0.2341	0.7659	Laggard-exclusive (low-count)	False	20000	Massilia rhizosphaerae
84	0	8	0.0	1.5717	-3.9821	-3.7193	-8.4475	-1.0741	1.8731	0.001	0.999	Laggard-enriched	True	20000	Massilia terrae
85	0	1	0.0	0.1965	-1.5174	-1.3586	-6.3415	2.3072	2.1643	0.2374	0.7627	Laggard-exclusive (low-count)	False	20000	Massilia yuzhufengensis
86	1	0	0.1862	0.0	1.3513	1.2133	-2.5135	6.0692	2.1546	0.7379	0.2621	Jumper-exclusive (low-count)	False	20000	Mesorhizobium septentrionale
87	2	0	0.3724	0.0	2.098	1.864	-1.2879	6.7522	2.0445	0.8679	0.1321	Jumper-exclusive (low-count)	False	20000	Methylococcus capsulatus
88	1	0	0.1862	0.0	1.3582	1.2011	-2.4472	6.1376	2.1524	0.7382	0.2617	Jumper-exclusive (low-count)	False	20000	Methylotenera mobilis
89	0	1	0.0	0.1965	-1.5348	-1.3812	-6.3102	2.2712	2.1638	0.2349	0.7651	Laggard-exclusive (low-count)	False	20000	Methylovulum psychrotolerans
90	0	2	0.0	0.3929	-2.2276	-2.0246	-6.8479	1.1871	2.0157	0.1135	0.8864	Laggard-exclusive (low-count)	False	20000	Moraxella atlantae
91	0	2	0.0	0.3929	-2.2185	-2.0069	-6.9284	1.2411	2.042	0.1161	0.8839	Laggard-exclusive (low-count)	False	20000	Moraxella lacunata
92	1	35	0.1862	6.8762	-4.626	-4.5042	-7.3099	-2.6694	1.1831	0.0	1.0	Laggard-enriched	True	20000	Moraxella osloensis
93	0	1	0.0	0.1965	-1.5168	-1.362	-6.3419	2.3397	2.166	0.2371	0.7629	Laggard-exclusive (low-count)	False	20000	Moritella profunda
94	1	1	0.1862	0.1965	-0.0702	-0.0678	-3.3295	3.1698	1.6386	0.4824	0.5177	Laggard-leaning (uncertain)	False	20000	Mucilaginibacter koreensis
95	1	0	0.1862	0.0	1.3804	1.2037	-2.4853	6.3574	2.1852	0.7379	0.2621	Jumper-exclusive (low-count)	False	20000	Novispirillum itersonii
96	2	0	0.3724	0.0	2.0736	1.8763	-1.3853	6.6832	2.032	0.8646	0.1354	Jumper-exclusive (low-count)	False	20000	Pantoea agglomerans
97	0	1	0.0	0.1965	-1.4913	-1.3235	-6.2151	2.3496	2.1605	0.2427	0.7573	Laggard-exclusive (low-count)	False	20000	Pantoea alhagi
98	3	0	0.5587	0.0	2.574	2.3325	-0.6754	7.2815	1.9916	0.932	0.068	Jumper-exclusive (low-count)	False	20000	Pantoea dispersa
99	0	1	0.0	0.1965	-1.5036	-1.3529	-6.251	2.3222	2.1673	0.2398	0.7602	Laggard-exclusive (low-count)	False	20000	Paraburkholderia pallida
100	1	0	0.1862	0.0	1.3823	1.2156	-2.4051	6.2172	2.1602	0.7371	0.2629	Jumper-exclusive (low-count)	False	20000	Paracoccus salipaludis
101	17	14	3.1657	2.7505	0.1982	0.1979	-0.7785	1.1899	0.5033	0.6496	0.3503	Jumper-leaning (uncertain)	False	20000	Pectobacterium cacticida
102	3	0	0.5587	0.0	2.5597	2.3164	-0.6677	7.0528	1.9753	0.9332	0.0668	Jumper-exclusive (low-count)	False	20000	Pectobacterium polaris
103	1	0	0.1862	0.0	1.3367	1.1741	-2.5266	6.153	2.1737	0.7322	0.2677	Jumper-exclusive (low-count)	False	20000	Pelagerythrobacter marensis
104	1	0	0.1862	0.0	1.3594	1.1817	-2.4214	6.1383	2.1478	0.7349	0.2651	Jumper-exclusive (low-count)	False	20000	Peptoniphilus faecalis
105	1	0	0.1862	0.0	1.3647	1.1938	-2.4894	6.2307	2.175	0.733	0.267	Jumper-exclusive (low-count)	False	20000	Phaeocystidibacter luteus
106	3	0	0.5587	0.0	2.5549	2.2911	-0.6209	7.1277	1.9679	0.9352	0.0649	Jumper-exclusive (low-count)	False	20000	Phaeodactylibacter luteus
107	2	0	0.3724	0.0	2.0762	1.8608	-1.3661	6.728	2.0421	0.8642	0.1358	Jumper-exclusive (low-count)	False	20000	Phycisphaera mikurensis
108	1	0	0.1862	0.0	1.3463	1.181	-2.4846	6.131	2.1615	0.7359	0.2641	Jumper-exclusive (low-count)	False	20000	Phytobacter diazotrophicus
109	2	2	0.3724	0.3929	-0.0665	-0.0728	-2.6024	2.505	1.2813	0.4768	0.5232	Laggard-leaning (uncertain)	False	20000	Pluralibacter pyrinus
