ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
map05020	map05020	14	0.457855781897725	1.21608744895046	0.201933404940924	0.484499940914641	0.443658482480673	6684	tags=50%, list=37%, signal=31%	XM_067113717.1/XM_067116297.1/XM_067100675.1/XM_067098396.1/EL695619.1/XM_067114931.1/XM_067129236.1
map05010	map05010	25	0.407426294081102	1.19375157414147	0.207991803278689	0.484499940914641	0.443658482480673	8646	tags=60%, list=48%, signal=31%	XM_067113717.1/XM_067116297.1/XM_067101362.1/XM_067100675.1/XM_067098396.1/EL695619.1/XM_067113178.1/XM_067127548.1/XM_067114931.1/XM_067133722.1/XM_067129236.1/XM_067082033.1/XM_067113715.1/XM_067132745.1/XM_067131708.1
map05225	map05225	18	0.433127358698474	1.20398121896075	0.208768267223382	0.484499940914641	0.443658482480673	6684	tags=56%, list=37%, signal=35%	XM_067116297.1/XM_067110139.1/XM_067082608.1/XM_067120859.1/XM_067094502.1/XM_067127548.1/XM_067092541.1/XM_067097995.1/XM_067120858.1/XM_067129236.1
map03420	map03420	11	0.472104564300162	1.17853593356497	0.244094488188976	0.555993000874891	0.509124955871744	7259	tags=82%, list=40%, signal=49%	XM_067134678.1/XM_067095434.1/XM_067124663.1/XM_067107860.1/XM_067093144.1/XM_067108819.1/XM_067088867.1/XM_067108820.1/XM_067119347.1
map00500	map00500	10	-0.341497278684883	-1.17756093362237	0.264957264957265	0.578728526096947	0.529943964847012	11868	tags=30%, list=66%, signal=10%	XM_067133125.1/XM_067092674.1/XM_067084944.1
map04149	map04149	17	0.418838605248912	1.15847131224142	0.267782426778243	0.578728526096947	0.529943964847012	2817	tags=29%, list=16%, signal=25%	XM_067122690.1/XM_067089678.1/XM_067113269.1/XM_067089723.1/XM_067119754.1
map03083	map03083	21	0.40648352087648	1.15573249621533	0.268191268191268	0.578728526096947	0.529943964847012	4878	tags=43%, list=27%, signal=31%	XM_067094692.1/XM_067102568.1/XM_067085256.1/XM_067101813.1/XM_067094880.1/XM_067101814.1/XM_067101812.1/XM_067083793.1/XM_067102565.1
map05016	map05016	28	0.383261866391929	1.14317860684212	0.278571428571429	0.588911232404482	0.539268308663068	8646	tags=57%, list=48%, signal=30%	XM_067113717.1/XM_067101362.1/XM_067129306.1/XM_067128322.1/XM_067100675.1/XM_067098396.1/EL695619.1/XM_067113178.1/EU077526.1/XM_067114931.1/XM_067124073.1/XM_067102977.1/XM_067113715.1/XM_067129308.1/XM_067132745.1/XM_067131708.1
map04660	map04660	10	0.472467539850371	1.15230533271235	0.282485875706215	0.588911232404482	0.539268308663068	2580	tags=30%, list=14%, signal=26%	XM_067116297.1/XM_067110139.1/XM_067128466.1
map01200	map01200	11	0.455847404650166	1.1379524521203	0.301462317210349	0.610367744793974	0.558916120607234	5351	tags=55%, list=30%, signal=38%	XM_067115588.1/XM_067123764.1/XM_067106589.1/XM_067127212.1/XM_067084960.1/XM_067099351.1
