	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067112428.1	17.0044	23.1257	17.8620	23.0248	24.2105	18.0959	27.3881	21.1666	20.5590	17.2038	25.1794	19.8377	21.4936	17.4983	15.9556	32.1869	22.1746	25.3476	14.4642	23.8273
XM_067112434.1	17.2118	16.6310	15.0494	21.3482	15.6280	23.3523	16.8032	16.1561	18.1798	10.8103	15.0943	24.1216	23.8441	19.9934	18.5220	13.1564	9.1134	34.1033	9.6099	22.7712
XM_067112435.1	8.2701	5.3968	5.1078	6.2127	4.6822	6.7054	5.3791	5.8183	3.3074	8.6396	7.0170	5.5056	3.8021	5.9897	5.9649	3.8857	2.4387	5.2598	2.8519	5.0697
XM_067112438.1	2.6971	0.4400	0.4691	1.1327	1.5562	1.7291	0.3884	0.3720	2.1313	0.5296	1.2108	0.1313	0.7342	0.0983	0.1602	1.1091	0.0783	1.0067	1.2702	1.0581
XM_067112439.1	0.5516	0.0000	8.4163	4.4845	6.3300	3.2863	0.0000	7.8567	1.8127	12.7214	1.3788	1.8851	4.1381	3.6965	8.8747	16.2018	23.5959	19.7667	5.3745	5.0138
XM_067112440.1	0.9617	0.3404	0.4463	0.8255	0.8251	0.3225	0.6282	0.3897	1.0334	0.0000	1.1926	1.3140	0.6375	1.4021	0.7541	0.9374	2.0352	0.7673	1.0730	0.8667
XM_067112445.1	0.7986	3.6440	1.1679	1.8660	1.1947	1.4662	1.4427	1.2486	1.6093	2.0308	0.4455	1.6384	2.2548	1.0593	3.7397	0.4691	0.6375	1.3323	1.0709	1.3496
XM_067112446.1	32.8360	34.4424	15.8984	38.2954	30.9269	24.9109	24.8330	25.1078	22.3049	69.9554	27.3837	14.8839	31.4140	25.1164	24.3318	71.7811	61.0717	43.6989	32.5340	62.9623
XM_067112447.1	3.1723	0.0000	8.3773	1.7403	3.4944	4.0252	3.8426	3.4463	3.4941	0.8948	3.1565	2.4065	3.4850	0.8964	1.0722	10.7389	2.3537	2.5327	1.3779	1.1606
XM_067112449.1	1.5322	0.2170	0.8774	0.6895	0.6571	0.7270	0.7103	4.2038	0.0000	0.0000	2.2972	2.7494	4.5941	0.7820	0.5196	1.6944	1.2360	1.1698	0.8481	0.7097
XM_067112452.1	102.0740	80.1410	60.4044	115.3512	89.1344	83.3017	74.9344	85.4280	101.5478	41.4465	120.5276	101.0761	101.3214	95.0334	91.6407	132.1952	138.8838	116.7435	85.9833	107.6073
