	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
OP136989.1	0.00	52.14	2.00	0.00	0.00	0.00	0.00	0.00	2373.32	350.94	117.43	42.48	136.85	1116490.48	1174769.04	61626.29	36.12	253.14	961462.49	3626646.62
OP136990.1	0.00	46.45	0.00	1.00	0.00	0.00	1.00	0.00	2646.01	237.38	39.35	13.75	22.75	1225996.01	988475.71	2410.41	7.44	116.05	1530215.40	2950749.02
OP136991.1	0.00	0.00	0.00	13.59	4.76	1.00	0.00	1.00	46.88	21.59	4.00	0.00	0.00	46180.83	50179.66	60.88	7.08	0.00	53004.04	50192.01
OP136992.1	15.08	2.08	0.00	0.00	0.00	0.00	1.00	0.00	144.67	6.20	5.88	413.03	496.22	9810.98	876.40	25851.61	18.50	19.04	9031.15	68493.00
OP136993.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26	16.42	0.00	67.53	20.58	966.05	1058.49	694.89	27.11	6.00	1601.30	3241.87
OP136994.1	468.23	1.00	0.00	2.06	2.19	0.00	3.00	0.00	552.18	517.05	88.18	1029.90	768.11	63600.92	72705.62	7.04	534.83	90.84	167781.50	146375.43
OP136995.1	38.08	0.00	0.00	0.00	3.00	1.00	0.00	5.00	23.72	0.00	4.00	12.20	90.69	11002.08	4554.66	0.00	25.03	0.00	14300.03	8983.67
OP136996.1	80.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.29	0.00	1.71	1.00	2.00	10562.10	11249.07	11.03	69.80	26.42	27637.62	62828.68
OP744143.1	420.04	303.72	449.92	493.96	415.32	199.37	150.06	364.80	869.78	448.39	488.32	383.08	844.68	460.62	457.86	470.12	3072.20	397.91	212.84	453.94
OP744345.1	924.23	0.00	1135.70	1123.57	2280.78	847.13	0.00	1392.29	1146.02	334.03	0.00	0.00	2759.43	1185.03	2122.00	0.00	750.17	994.65	0.00	1312.29
OP744379.1	0.00	36.85	0.00	0.00	4.37	0.00	50.72	21.40	10.62	7.81	200.96	37.60	16.16	16.51	11.95	85.87	0.00	21.08	62.78	0.00
