	SRR21374326	SRR21374327	SRR21374328	SRR21374329	SRR21374330	SRR21374331	SRR21374332	SRR21374333	SRR21374334	SRR21374335	SRR21374336	SRR21374337	SRR21374338	SRR21374339	SRR21374340	SRR21374341	SRR21374342	SRR21374343	SRR21374344	SRR21374345
XM_067106156.1	4.3401	5.5877	2.0827	9.3980	7.5338	9.9411	10.5704	9.4705	5.6412	6.6047	7.1900	5.8721	7.0120	7.5864	8.5446	8.2846	15.9652	4.9742	5.1657	6.3275
XM_067106159.1	0.0000	0.0715	0.0000	0.0267	0.0000	0.0255	0.0273	0.0000	18.6971	1.8237	4.5106	4.2731	24.0504	0.0000	0.0000	0.0412	0.0807	0.0000	0.0289	0.0000
XM_067106210.1	1.3862	0.2780	0.2425	1.7283	0.4362	0.5172	0.5186	0.5597	5.7144	4.5246	2.6364	5.5743	3.7428	1.0386	1.1381	1.2802	2.1064	1.0070	0.6216	0.6758
XM_067106229.1	4.0561	1.7403	3.0047	4.6416	2.5693	3.4581	1.9842	2.7676	27.0439	36.0938	22.8437	50.5863	26.9008	10.1424	7.3879	4.5254	17.1798	7.3184	10.4121	3.3395
XM_067106234.1	6.4452	4.5760	3.0920	9.6737	8.9218	9.8837	8.6637	7.5033	12.8061	11.1858	11.8382	14.1332	8.9138	7.7555	9.6488	7.8091	8.0943	7.0116	5.6412	8.4898
XM_067106238.1	3.6030	5.5269	4.6265	3.6664	2.0923	2.8288	2.8281	2.5025	0.0683	0.0308	27.0772	0.0350	0.4587	1.3592	1.9404	7.8335	0.4931	4.6878	0.9800	1.5183
XM_067106239.1	6.2913	5.6707	3.9057	8.5595	8.0096	9.9282	10.8199	8.0161	29.0950	25.8472	43.5750	27.4136	20.3023	8.1258	7.5071	11.4282	12.4475	7.8028	7.5645	8.8939
XM_067106243.1	4.4050	5.1557	3.6721	3.3472	1.4404	1.2808	1.1736	0.9500	17.0328	19.2920	12.3607	17.7172	16.7962	1.8534	1.5758	3.4272	8.4528	5.0040	1.3664	2.1290
XM_067106255.1	0.0000	0.0933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.5740	0.2690	0.1280	0.0142	0.0972	1981.7921	996.5199	52.1685	0.0198	0.2395	749.1954	6671.6466
XM_067106257.1	676.1386	1196.5324	971.0283	0.0000	0.0000	0.0000	0.0000	0.0000	0.2504	0.0000	0.0000	0.0557	0.1661	0.0000	0.0395	0.0000	0.4635	576.8116	0.0482	0.0000
XM_067106258.1	62.1353	380.4493	67.9782	0.2415	0.1413	0.2391	0.3392	0.2854	2.1331	0.5142	20.9722	36.2315	33.5440	0.2599	4.9301	0.6310	2.6230	223.6275	0.7504	0.5003
XM_067106260.1	45.5539	102.7114	37.3606	0.5724	3.5640	0.0000	0.4398	0.1282	1.2680	3.1689	2.4327	0.5458	0.6247	0.8858	0.3679	11.0328	1.6057	39.1739	0.0000	1.4020
XM_067106264.1	9.2759	15.3167	10.7337	4.2383	2.6710	3.7115	4.5264	3.8622	3.2704	1.0558	11.5141	6.0081	1.9064	2.2963	411.1085	3.9789	206.6906	6.9735	2.0671	3.0494
XM_067106265.1	35.3728	46.7958	34.1026	56.7372	53.2796	65.3523	67.4987	45.4734	118.8711	64.6910	161.3603	109.0907	74.9798	53.8822	91.9123	74.2577	54.7839	39.4763	31.5995	56.8335
XM_067106271.1	0.9865	1.1142	0.7606	6.3184	4.1695	16.8045	11.8384	0.0000	1.4809	0.2383	0.1229	0.0000	0.0000	28.6219	4.1234	9.8273	1.3603	0.7239	9.2497	10.7333
XM_067106274.1	0.5802	0.1564	0.2429	0.2569	0.1946	0.2022	0.2888	0.2016	3.5384	3.4870	4.4207	3.7947	3.9728	0.1143	0.2431	0.2264	1.1013	0.4745	0.0899	0.2290
XM_067106275.1	3.1477	2.6802	0.0000	0.4953	1.9563	3.4065	1.9083	2.7010	3.3817	5.0121	0.0000	3.3203	3.7713	0.0000	1.8162	2.9542	1.2026	1.8109	0.0000	2.0881
