taxon	Jumper	Laggard	rel_abund_jumper_pct	rel_abund_laggard_pct	clr_Jumper	clr_Laggard	fold_diff	direction	exclusive_to	contaminant_flag	contamination_score	contamination_risk	contaminant_reason	contamination_rationale
Runella soli	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Salipiger aestuarii	2	0	0.3724	0.0	0.1485	NA	NA	Jumper-exclusive	Jumper	False	0.1976	LOW		Singleton/doubleton — possible stochastic contaminant
Serratia ficaria	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Serratia ureilytica	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Shewanella litorisediminis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Shewanella maritima	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Siccibacter turicensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Sphingomonas koreensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	True	0.8646	HIGH	Genus 'sphingomonas' is a known reagent/skin contaminant	Genus 'sphingomonas' in contaminant database; Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Stutzerimonas kunmingensis	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Thalassotalea marina	1	0	0.1862	0.0	-0.5447	NA	NA	Jumper-exclusive	Jumper	False	0.8646	HIGH		Low abundance (score=0.86); Singleton/doubleton — possible stochastic contaminant
Thiohalospira halophila	6	0	1.1173	0.0	1.2471	NA	NA	Jumper-exclusive	Jumper	False	0.0733	LOW		No contaminant indicators
