pathway_id	pathway_name	source	jumper_idx	laggard_idx	log2_ratio_idx	n_contributing_taxa_jumper	n_contributing_taxa_laggard	top_jumper_taxa	top_laggard_taxa	method_note
map00232	Caffeine metabolism	KEGG_GENOME	5.718218152164403e-06	1.6516360949123586e-05	-1.3825525357100457	2	4	Mariniblastus fucicola (3.06e-06); Phycisphaera mikurensis (2.66e-06)	Mariniblastus fucicola (1.28e-05); Brachybacterium aquaticum (2.27e-06); Anatilimnocola aggregata (9.41e-07); Paraburkholderia pallida (4.55e-07)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00240	Pyrimidine metabolism	KEGG_GENOME	0.005754347554947168	0.015321622518187129	-1.4126882826621152	79	111	Klebsiella variicola (9.27e-04); Pectobacterium cacticida (4.40e-04); Flavobacterium jumunjinense (3.71e-04); Citrobacter koseri (3.48e-04); Arcticibacterium luteifluviistationis (2.61e-04)	Cutibacterium acnes (4.01e-03); Moraxella osloensis (1.31e-03); Exiguobacterium aestuarii (6.58e-04); Flavobacterium haoranii (5.83e-04); Pseudomonas oryzihabitans (4.01e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00250	Alanine, aspartate and glutamate metabolism	KEGG_GENOME	0.004281379559061006	0.011968899194386047	-1.482926426016084	79	111	Klebsiella variicola (6.35e-04); Pectobacterium cacticida (3.57e-04); Arcticibacterium luteifluviistationis (2.52e-04); Citrobacter koseri (2.32e-04); Flavobacterium jumunjinense (2.30e-04)	Cutibacterium acnes (2.98e-03); Moraxella osloensis (9.09e-04); Exiguobacterium aestuarii (5.70e-04); Pseudomonas oryzihabitans (4.54e-04); Flavobacterium haoranii (3.62e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00253	Tetracycline biosynthesis	KEGG_GENOME	0.0	1.7481823041105056e-06	-1.4584777103104687	0	2		Limnoglobus roseus (8.74e-07); Gemmata massiliana (8.74e-07)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00260	Glycine, serine and threonine metabolism	KEGG_GENOME	0.0051432345814287905	0.014946640341258323	-1.538889418831938	79	111	Klebsiella variicola (8.07e-04); Pectobacterium cacticida (3.09e-04); Flavobacterium jumunjinense (3.07e-04); Citrobacter koseri (2.97e-04); Arcticibacterium luteifluviistationis (2.52e-04)	Cutibacterium acnes (3.11e-03); Moraxella osloensis (1.31e-03); Pseudomonas oryzihabitans (6.68e-04); Pseudomonas alkylphenolica (5.34e-04); Exiguobacterium aestuarii (5.27e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00261	Monobactam biosynthesis	KEGG_GENOME	0.0013933841193718632	0.00322330095235661	-1.209358365734372	79	111	Klebsiella variicola (2.23e-04); Pectobacterium cacticida (1.43e-04); Pseudoalteromonas phenolica (8.82e-05); Arcticibacterium luteifluviistationis (6.77e-05); Flavobacterium jumunjinense (6.39e-05)	Cutibacterium acnes (6.48e-04); Moraxella osloensis (3.41e-04); Pseudomonas oryzihabitans (1.34e-04); Pectobacterium cacticida (1.23e-04); Exiguobacterium aestuarii (1.10e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00270	Cysteine and methionine metabolism	KEGG_GENOME	0.005871269037045715	0.0136479151092237	-1.216796310727272	79	111	Klebsiella variicola (9.79e-04); Pectobacterium cacticida (4.40e-04); Citrobacter koseri (3.84e-04); Flavobacterium jumunjinense (3.45e-04); Pseudoalteromonas phenolica (3.29e-04)	Cutibacterium acnes (2.46e-03); Moraxella osloensis (1.25e-03); Exiguobacterium aestuarii (7.24e-04); Flavobacterium haoranii (5.43e-04); Pseudomonas oryzihabitans (5.21e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00280	Valine, leucine and isoleucine degradation	KEGG_GENOME	0.002394027133976255	0.008880297794584917	-1.8907285074441469	79	111	Klebsiella variicola (2.75e-04); Flavobacterium jumunjinense (2.30e-04); Pseudoalteromonas phenolica (1.60e-04); Arcticibacterium luteifluviistationis (8.71e-05); Flavobacterium haoranii (8.62e-05)	Cutibacterium acnes (1.42e-03); Exiguobacterium aestuarii (4.39e-04); Pseudomonas oryzihabitans (4.14e-04); Moraxella osloensis (3.98e-04); Flavobacterium haoranii (3.62e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00290	Valine, leucine and isoleucine biosynthesis	KEGG_GENOME	0.0023924013607098497	0.005370269696512185	-1.1662008129213022	79	111	Klebsiella variicola (3.43e-04); Pectobacterium cacticida (2.38e-04); Arcticibacterium luteifluviistationis (1.45e-04); Citrobacter koseri (1.23e-04); Flavobacterium jumunjinense (1.15e-04)	Cutibacterium acnes (7.77e-04); Moraxella osloensis (6.82e-04); Pseudomonas oryzihabitans (2.14e-04); Pectobacterium cacticida (2.06e-04); Flavobacterium haoranii (1.81e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
map00300	Lysine biosynthesis	KEGG_GENOME	0.002428967934149575	0.0066021197903669915	-1.4422105426548386	79	111	Klebsiella variicola (3.61e-04); Pectobacterium cacticida (2.26e-04); Pseudoalteromonas phenolica (1.60e-04); Flavobacterium jumunjinense (1.53e-04); Arcticibacterium luteifluviistationis (1.16e-04)	Cutibacterium acnes (1.81e-03); Moraxella osloensis (6.25e-04); Exiguobacterium aestuarii (3.07e-04); Flavobacterium haoranii (2.41e-04); Pseudomonas oryzihabitans (2.00e-04)	Genome-resolved functional index: sum over taxa of (pool rel. abundance x pathway genes / genome total genes). DESCRIPTIVE ONLY (n=1 pooled per group; no statistical inference).
