ko	ko_name	jumper_idx	laggard_idx	log2_ratio_idx	source
ko:K00082		3.207677897816213e-06	0.0	2.073024269029167	KEGG_GENOME
ko:K00086		2.6977757919752214e-06	3.304077255767468e-06	-0.21904622153280814	KEGG_GENOME
ko:K00087		5.846653959938726e-07	1.5761951442518165e-05	-3.402939967920901	KEGG_GENOME
ko:K00088		0.00015401553334948762	0.0006225324620706284	-2.008051882792936	KEGG_GENOME
ko:K00090		5.770286965964848e-05	0.00010610455577496396	-0.8675169119623565	KEGG_GENOME
ko:K00091		0.0	6.709882698644732e-06	-2.94670891054616	KEGG_GENOME
ko:K00094		2.414785044285822e-05	7.904896193243039e-06	1.4977643897266202	KEGG_GENOME
ko:K00096		0.0	0.0002854895667001594	-8.16233879003433	KEGG_GENOME
ko:K00097		0.0001167540543540169	0.0003109409558267772	-1.4054962479737607	KEGG_GENOME
ko:K00098		1.458441817055794e-05	2.0278414006632817e-05	-0.4492863287914742	KEGG_GENOME
ko:K00099		0.00013150356361034938	0.00044066538117752024	-1.7369225941262225	KEGG_GENOME
ko:K00100		1.9063886897771811e-06	0.0	1.5392276566236323	KEGG_GENOME
ko:K00102		1.6533131248756376e-05	8.468368416474049e-05	-2.2889368427960637	KEGG_GENOME
ko:K00104		1.7241979492339575e-05	0.00011170489814727419	-2.627216021991899	KEGG_GENOME
ko:K00108		7.167404117270909e-05	0.0001273357473619795	-0.820411045452524	KEGG_GENOME
ko:K00111		0.00019796730199359136	0.0005298316225657502	-1.4157229573527834	KEGG_GENOME
ko:K00112		5.399082437282209e-05	0.00018071708594028554	-1.7244312558255805	KEGG_GENOME
ko:K00113		5.399082437282209e-05	0.00018117197214595232	-1.7280381926121746	KEGG_GENOME
ko:K00114		1.0124701030920454e-05	6.836192583805374e-05	-2.640377390518283	KEGG_GENOME
ko:K00116		0.00014352244700987197	0.00026508069458659235	-0.8805702524446432	KEGG_GENOME
ko:K00117		0.00013945171233503025	0.00014881648404517652	-0.09312215636422501	KEGG_GENOME
ko:K00121		0.00011901859180655658	0.00029719026480729417	-1.3129752501314103	KEGG_GENOME
ko:K00122		6.616329630835272e-07	1.9228112340203825e-06	-0.8147549161374936	KEGG_GENOME
ko:K00123		0.00011774428506380865	0.00020189327710944688	-0.7728629810803297	KEGG_GENOME
ko:K00124		7.595588737200429e-05	0.00014693070686322532	-0.9428179456946025	KEGG_GENOME
ko:K00126		4.3984065108786444e-06	1.4826185183446265e-05	-1.5517080196753885	KEGG_GENOME
ko:K00127		7.187020867038127e-05	0.00014290390123713667	-0.9817046769945458	KEGG_GENOME
ko:K00128		9.732122405192056e-05	0.000326939045744258	-1.7378529032489223	KEGG_GENOME
ko:K00130		7.101240820962556e-05	0.00019723823015389065	-1.4609177935559534	KEGG_GENOME
ko:K00131		8.973874183896634e-06	9.294873670696138e-05	-3.2356478531452812	KEGG_GENOME
ko:K00132		2.0960321572888976e-05	8.816643773912564e-06	1.1615974114767018	KEGG_GENOME
ko:K00133		0.00019452621578085422	0.0004956880706680464	-1.3449780426047457	KEGG_GENOME
ko:K00134		0.00031559196838195567	0.0007388898108527039	-1.2246857750931648	KEGG_GENOME
ko:K00135		0.0002501006725799404	0.0006467990270247354	-1.3672804083365482	KEGG_GENOME
ko:K00137		5.8922410783196496e-05	8.083340796370259e-05	-0.4495942673103316	KEGG_GENOME
ko:K00138		0.00010097586576909792	0.0002903058530414136	-1.5143069334350032	KEGG_GENOME
ko:K00140		8.283149639872943e-05	0.0004901951363400368	-2.550731988667873	KEGG_GENOME
ko:K00141		2.151195081208429e-05	3.462280640271281e-05	-0.6621100965255394	KEGG_GENOME
ko:K00145		0.00013511268287175069	0.00039213898086683875	-1.5302379159554993	KEGG_GENOME
ko:K00146		5.423004712968968e-05	0.0001132617251643545	-1.0488169539009713	KEGG_GENOME
ko:K00147		0.00012809608568937114	0.00035128824842958593	-1.4483110929804375	KEGG_GENOME
ko:K00148		1.0557120718224858e-05	9.074736634710293e-05	-2.98888472832397	KEGG_GENOME
ko:K00150		2.982274866298321e-06	2.996435971149821e-05	-2.9589439060387814	KEGG_GENOME
ko:K00151		3.363364669295142e-05	5.595726950195448e-05	-0.7177056842710459	KEGG_GENOME
ko:K00152		0.0	5.978740793486521e-07	-0.6761537209960984	KEGG_GENOME
ko:K00153		1.380102237973789e-06	4.6661529803094495e-06	-1.2513460072825953	KEGG_GENOME
ko:K00154		3.5869587313502294e-05	0.00017194205795619558	-2.2297855887881033	KEGG_GENOME
ko:K00156		7.69620794660868e-05	0.0002907690082256961	-1.9039821710575004	KEGG_GENOME
ko:K00161		5.352062154942246e-05	7.2986762937948e-05	-0.44046517015844	KEGG_GENOME
ko:K00162		5.2508942729120895e-05	7.2986762937948e-05	-0.46748715615639685	KEGG_GENOME
ko:K00163		0.0001097149232963414	0.0004460755911851613	-2.0136690852562915	KEGG_GENOME
ko:K00164		0.0001591325642255416	0.00032503298269462885	-1.0257511990160475	KEGG_GENOME
ko:K00166		3.088261277215861e-05	0.0003590944772540059	-3.497533705392007	KEGG_GENOME
ko:K00167		3.18500338983142e-05	0.0003519421688464674	-3.4254650464297765	KEGG_GENOME
ko:K00174		1.4731521309847498e-05	0.00018885007827325518	-3.593130495963814	KEGG_GENOME
ko:K00175		1.4731521309847498e-05	0.00018327836474847778	-3.550156603105534	KEGG_GENOME
ko:K00179		4.757658966273345e-06	9.598685310470527e-06	-0.8803310762837326	KEGG_GENOME
ko:K00180		4.757658966273345e-06	4.026971785693116e-06	0.19579274689654227	KEGG_GENOME
ko:K00196		5.846653959938726e-07	6.848564540872233e-07	-0.08844743660151445	KEGG_GENOME
ko:K00198		5.846653959938726e-07	6.848564540872233e-07	-0.08844743660151445	KEGG_GENOME
ko:K00200		8.254668392192318e-06	1.700655549241922e-05	-0.9602690294732951	KEGG_GENOME
ko:K00201		6.2389051234306e-06	1.700655549241922e-05	-1.3146788189550802	KEGG_GENOME
ko:K00202		6.2389051234306e-06	1.700655549241922e-05	-1.3146788189550802	KEGG_GENOME
ko:K00206		1.5085868765010438e-06	1.2841539883886769e-05	-2.464057646048423	KEGG_GENOME
ko:K00207		0.0	9.410241353870245e-07	-0.9568180571482727	KEGG_GENOME
ko:K00208		0.00011571399865005723	0.000322391739636252	-1.4703052207298493	KEGG_GENOME
ko:K00209		6.88221361763598e-05	0.00011748166029008819	-0.7629073611725735	KEGG_GENOME
ko:K00211		1.3839564913910492e-05	1.048026879793413e-06	2.857142238174719	KEGG_GENOME
ko:K00215		0.00015819400999653687	0.0004691960799761386	-1.5624764587733269	KEGG_GENOME
ko:K00216		5.863421785167429e-05	5.231894277338314e-05	0.16149220588962507	KEGG_GENOME
ko:K00217		1.2088098058651451e-06	2.5840698814522795e-05	-3.6030811305876544	KEGG_GENOME
ko:K00219		9.737367725453317e-05	0.00025569919236845983	-1.3837345196928401	KEGG_GENOME
ko:K00220		9.378254544895853e-06	1.7719006035258825e-05	-0.8509400049148076	KEGG_GENOME
ko:K00221		1.380102237973789e-06	9.54743480434631e-06	-2.147796718662936	KEGG_GENOME
ko:K00226		5.896560798597256e-06	0.00015685515391686904	-4.516580461755875	KEGG_GENOME
ko:K00227		6.663741410139145e-06	1.8668150628935755e-05	-1.3597405216120144	KEGG_GENOME
ko:K00228		0.0001434094950824691	0.0002800494528774966	-0.9606584022801568	KEGG_GENOME
ko:K00230		7.773062451682495e-05	6.711397180320986e-05	0.20897416237553332	KEGG_GENOME
ko:K00231		8.007206320592487e-06	0.000348983798671344	-5.280064620203553	KEGG_GENOME
ko:K00232		1.289926074082834e-05	4.6661529803094495e-06	1.294566693813706	KEGG_GENOME
ko:K00233		7.86485041054519e-07	0.0	0.8371238337178565	KEGG_GENOME
ko:K00239		0.0001573723823690307	0.0006216277477137831	-1.9750490984347484	KEGG_GENOME
ko:K00240		0.00015885385793078875	0.0006243171584846681	-1.9678345421395902	KEGG_GENOME
ko:K00241		0.00016530355702538475	0.0006135574360709947	-1.8857288236810015	KEGG_GENOME
ko:K00242		0.00011526409116557676	0.00024941140310982823	-1.1068946795629968	KEGG_GENOME
ko:K00243		6.83265917083257e-05	0.0001567551700560856	-1.1862065465254925	KEGG_GENOME
ko:K00244		6.350647151408633e-05	4.255227185636578e-05	0.5666959266049263	KEGG_GENOME
ko:K00245		6.350647151408633e-05	4.255227185636578e-05	0.5666959266049263	KEGG_GENOME
ko:K00246		6.350647151408633e-05	4.255227185636578e-05	0.5666959266049263	KEGG_GENOME
ko:K00247		6.350647151408633e-05	4.255227185636578e-05	0.5666959266049263	KEGG_GENOME
ko:K00248		9.745456891604627e-06	9.785407368316505e-05	-3.201573592519951	KEGG_GENOME
ko:K00249		6.855255829860536e-05	0.0004057052979851614	-2.5478082979209122	KEGG_GENOME
ko:K00252		4.80809614865165e-05	0.00017421614519186877	-1.8359003008703647	KEGG_GENOME
ko:K00253		3.182078237876106e-05	0.0001644558060184839	-2.3337643830225736	KEGG_GENOME
ko:K00254		0.0001548125747338019	0.00029503279592597566	-0.9259453436603078	KEGG_GENOME
ko:K00255		1.3148844735005316e-05	0.0001159817540680667	-3.0475273609379845	KEGG_GENOME
ko:K00257		0.0	4.478625312831978e-06	-2.4538139400550274	KEGG_GENOME
ko:K00259		9.158603292154823e-05	0.00041845839567629595	-2.1796612458167766	KEGG_GENOME
ko:K00260		6.9871848681794706e-06	3.100245791558832e-05	-2.00242370283985	KEGG_GENOME
ko:K00261		6.279383237046889e-05	6.951616670744035e-05	-0.14453710116698654	KEGG_GENOME
ko:K00262		0.00011645687290798394	0.00035118851276757276	-1.584216719836935	KEGG_GENOME
ko:K00263		5.4933270236266155e-05	0.00015031723309549534	-1.4357977138198117	KEGG_GENOME
ko:K00265		0.000127581680486248	0.0003789067113924	-1.5629600875890264	KEGG_GENOME
ko:K00266		0.00012797624730091734	0.0003788452528593765	-1.5583063926373442	KEGG_GENOME
ko:K00270		1.045438958910067e-06	2.3036773272077454e-05	-3.554760850476138	KEGG_GENOME
ko:K00273		1.4055034138314337e-05	0.0	3.912174074362836	KEGG_GENOME
ko:K00274		1.3501776282167625e-05	0.0002521657665099525	-4.125780806494218	KEGG_GENOME
ko:K00275		0.00017044628058223284	0.0003091893662244834	-0.8553926231206517	KEGG_GENOME
ko:K00276		2.756061314456646e-05	1.3430043269993652e-05	0.9849513258379834	KEGG_GENOME
ko:K00278		0.0001196843196135295	0.0002782551004979695	-1.2103453908529418	KEGG_GENOME
ko:K00281		0.000146959572569655	0.000476061844034389	-1.6889732646185895	KEGG_GENOME
ko:K00282		6.134293699707353e-06	4.216444664652212e-05	-2.5970009797324844	KEGG_GENOME
ko:K00283		6.134293699707353e-06	4.216444664652212e-05	-2.5970009797324844	KEGG_GENOME
ko:K00284		2.015763268761717e-06	2.622079773216045e-06	-0.2642951363189757	KEGG_GENOME
ko:K00285		0.0001163434856884097	0.00038283350002953575	-1.709742878832776	KEGG_GENOME
ko:K00286		0.00018097133407879467	0.0004968649590742324	-1.4520432778961778	KEGG_GENOME
ko:K00287		0.00015378347300077456	0.00046823857864590414	-1.600070194018791	KEGG_GENOME
ko:K00290		4.953358162501788e-06	7.914873947717509e-07	1.7325457990423514	KEGG_GENOME
ko:K00294		3.2645607341337524e-05	6.112525375855769e-05	-0.8847616758990269	KEGG_GENOME
ko:K00297		0.00012020559478800176	0.00022225128354168478	-0.8812121754668715	KEGG_GENOME
ko:K00298		9.67808537361711e-06	0.0	3.416581083709453	KEGG_GENOME
ko:K00299		7.785515793856737e-05	0.0001848063006466498	-1.2365223936769008	KEGG_GENOME
ko:K00300		5.077162695667744e-06	1.655166928675243e-05	-1.5301384266258327	KEGG_GENOME
