gene	module
EL695755.1	M4
EL695756.1	M1
EL695757.1	M1
EL695758.1	M1
EL695762.1	M2
EL695763.1	M2
EL695764.1	M19
EL695771.1	M0
EL695773.1	M8
EL695774.1	M3
EL695775.1	M1
EL695778.1	M3
EL695779.1	M4
EL695780.1	M1
EL695782.1	M4
EL695783.1	M1
EL695786.1	M9
EL695787.1	M2
EL695790.1	M1
EL695792.1	M1
EL695795.1	M1
EL695799.1	M5
EL695801.1	M2
EL695802.1	M5
EL695803.1	M9
EL695804.1	M2
EL695808.1	M5
EL695809.1	M1
EL695815.1	M3
EL695816.1	M2
EL695818.1	M2
EL695819.1	M19
EL695821.1	M5
EL695824.1	M11
EL695825.1	M1
EL695832.1	M4
EL695833.1	M19
EL695834.1	M1
EL695836.1	M4
EL695837.1	M1
EL695839.1	M19
EL695842.1	M3
EL695843.1	M5
EL695847.1	M1
EL695848.1	M8
EL695849.1	M1
EL695850.1	M3
EL695852.1	M5
EL695854.1	M14
EL695856.1	M2
EL695857.1	M1
EL695860.1	M14
EL695863.1	M1
EL695866.1	M19
EL695868.1	M1
EL695869.1	M1
EL695870.1	M3
EL695871.1	M1
EL695872.1	M1
EL695873.1	M5
EL695874.1	M1
EL695876.1	M3
EL695878.1	M3
EL695879.1	M1
EL695881.1	M5
EL695882.1	M4
EL695883.1	M6
EL695885.1	M3
EL695887.1	M1
EL695888.1	M3
EL695890.1	M1
EL695892.1	M1
EL695894.1	M4
EL695896.1	M1
EL695898.1	M3
EL695901.1	M4
EL695902.1	M11
EL695904.1	M0
EL695905.1	M4
EL695906.1	M1
EL695907.1	M1
EL695908.1	M18
EL695911.1	M4
EL695912.1	M2
EL695914.1	M6
EL695919.1	M8
EL695922.1	M4
EL695925.1	M10
EL695928.1	M19
EL695930.1	M2
EL695933.1	M4
EL695934.1	M5
EL695935.1	M2
EL695938.1	M4
EL695943.1	M10
EL695944.1	M4
EL695946.1	M5
EL695947.1	M5
EL695953.1	M2
EL695954.1	M1
EL695957.1	M4
EL695958.1	M4
EL695959.1	M4
EL695960.1	M0
EL695961.1	M4
EL695962.1	M4
EL695964.1	M1
EL695965.1	M3
EL695966.1	M9
EL695971.1	M1
EL695972.1	M10
EL695974.1	M1
EL695976.1	M8
EL695978.1	M1
EL695979.1	M8
EL695981.1	M4
EL695982.1	M5
EL695983.1	M3
EL695984.1	M2
EL695986.1	M3
EL695989.1	M1
EL695990.1	M7
EL695991.1	M1
EL695992.1	M3
EL695994.1	M10
EL695997.1	M1
EL695998.1	M1
EL695999.1	M5
EL696000.1	M10
EL696002.1	M5
EL696003.1	M1
EL696006.1	M3
EL696010.1	M1
EL696011.1	M2
EL696012.1	M6
EL696013.1	M1
EL696014.1	M2
EL696015.1	M3
EL696017.1	M1
EL696020.1	M15
EL696022.1	M6
EL696023.1	M19
EL696025.1	M3
EL696027.1	M4
EL696032.1	M1
EL696033.1	M1
EL696034.1	M1
EL696037.1	M2
EL696038.1	M6
EL696040.1	M5
EL696042.1	M4
EL696044.1	M2
EL696045.1	M0
EL696048.1	M11
EL696052.1	M1
EL696054.1	M1
EL696055.1	M5
EL696056.1	M2
EL696059.1	M1
EL696060.1	M1
EL696063.1	M2
EL696065.1	M3
EL696066.1	M4
EL696067.1	M1
EL696068.1	M1
EL696070.1	M8
EL696071.1	M1
EL696073.1	M9
EL696075.1	M1
EL696076.1	M8
EL696077.1	M1
EL696080.1	M1
EL696082.1	M5
EL696083.1	M1
EL696085.1	M4
EL696086.1	M6
EL696089.1	M4
EL696090.1	M5
EL696091.1	M1
EL696095.1	M8
EL696096.1	M15
EL696099.1	M11
EL696100.1	M18
EL696102.1	M2
EL696107.1	M1
EL696108.1	M2
EL696113.1	M1
EL696114.1	M1
EL696115.1	M10
EL696116.1	M0
EL696118.1	M5
EL696122.1	M1
EL696123.1	M11
EL696127.1	M2
EL696128.1	M3
EL696130.1	M3
EL696131.1	M10
EL696133.1	M5
EL696134.1	M1
EL696135.1	M1
EL696137.1	M1
EL696139.1	M1
EL696140.1	M5
EL696141.1	M7
EL696142.1	M4
EL696143.1	M2
EL696144.1	M3
EL696145.1	M1
EL696147.1	M1
EL696149.1	M3
EL696150.1	M4
EL696151.1	M8
EL696155.1	M8
EL696156.1	M4
EL696158.1	M1
EL696162.1	M1
EL696166.1	M1
EL696167.1	M19
EL696168.1	M1
EL696169.1	M1
EL696170.1	M4
EL696171.1	M6
EL696172.1	M11
EL696173.1	M1
EL696176.1	M1
EL696179.1	M5
EL696181.1	M1
EL696184.1	M1
EL696185.1	M6
EL696188.1	M1
EL696190.1	M2
EL696191.1	M15
EL696192.1	M2
EL696194.1	M0
EL696195.1	M1
EL696197.1	M3
EL696198.1	M2
EL696200.1	M6
EL696201.1	M3
EL696203.1	M4
EL696204.1	M1
EL696206.1	M1
EL696207.1	M2
EL696209.1	M8
EL696210.1	M1
EL696211.1	M1
EL696213.1	M7
EL696214.1	M4
EL696215.1	M8
EL696216.1	M1
EL696220.1	M2
EL696221.1	M3
EL696222.1	M2
EL696223.1	M2
EL696224.1	M1
EL696226.1	M2
EL696228.1	M1
EL696229.1	M1
EL696230.1	M6
EL696232.1	M3
EL696234.1	M1
EL696235.1	M3
EL696239.1	M1
EL696241.1	M1
EL696246.1	M5
EL696247.1	M1
EL696249.1	M8
EL696250.1	M11
EL696251.1	M5
EL696252.1	M1
EL696253.1	M16
EL696254.1	M6
EL696257.1	M2
EL696259.1	M4
EL696261.1	M2
EL696262.1	M6
EL696271.1	M3
EL696272.1	M1
EL696275.1	M3
EL696276.1	M3
EL696277.1	M1
EL696279.1	M1
EL696282.1	M3
EL696283.1	M6
EL696284.1	M5
EL696285.1	M4
EL696287.1	M1
EL696289.1	M1
EL696290.1	M5
EL696292.1	M3
EL696293.1	M3
EL696294.1	M3
EL696295.1	M4
EL696297.1	M7
EL696298.1	M3
EL696299.1	M5
EL696300.1	M1
EL696302.1	M1
EL696303.1	M10
EL696304.1	M1
EL696306.1	M1
EL696307.1	M4
EL696308.1	M1
EL696315.1	M3
EL696316.1	M4
EL696323.1	M1
EL696324.1	M3
EL696328.1	M3
EL696330.1	M4
EL696336.1	M4
EL696337.1	M3
EL696340.1	M2
EL696341.1	M1
EL696342.1	M3
EL696344.1	M5
EL696346.1	M1
EL696348.1	M1
EL696351.1	M1
EL696354.1	M1
EL696355.1	M3
EL696356.1	M1
EL696357.1	M9
EL696359.1	M8
EL696360.1	M3
EL696361.1	M1
EL696362.1	M4
EL696365.1	M5
EL696366.1	M4
EL696367.1	M1
EL696368.1	M1
EL696369.1	M3
EL696372.1	M3
EL696374.1	M6
EL696377.1	M1
EL696378.1	M3
EL696383.1	M1
EL696384.1	M4
EL696389.1	M1
EL696390.1	M1
EL696391.1	M3
EL696393.1	M2
EL696396.1	M1
EL696397.1	M6
EL696398.1	M11
EL696399.1	M3
EL696400.1	M16
EL696403.1	M16
EL696404.1	M4
EL696407.1	M4
EL696409.1	M11
EL696415.1	M2
EL696417.1	M2
EL696418.1	M1
EL696419.1	M1
EL696420.1	M1
EL696422.1	M1
EL696424.1	M5
EL696425.1	M18
EL696433.1	M2
EL696434.1	M4
EL696435.1	M7
EL696438.1	M1
EL696440.1	M1
EL696441.1	M1
EL696444.1	M8
EL696445.1	M2
EL696446.1	M3
EL696447.1	M3
EL696448.1	M1
EL696449.1	M3
EL696451.1	M1
EL696452.1	M2
EL696454.1	M8
EL696455.1	M3
EL696459.1	M1
EL696460.1	M10
EL696465.1	M2
EL696468.1	M9
EL696470.1	M1
EL696471.1	M2
EL696472.1	M3
EL696474.1	M10
EL696475.1	M1
EL696476.1	M1
EL696478.1	M14
EL696479.1	M1
EL696480.1	M1
EL696483.1	M2
EL696488.1	M1
EL696489.1	M5
EL696490.1	M11
EL696491.1	M4
EL696492.1	M2
EL696494.1	M1
EL696495.1	M7
EL696496.1	M2
EL696497.1	M3
EL696498.1	M4
EL696499.1	M5
EL696500.1	M1
EL696501.1	M1
EL696503.1	M3
EL696504.1	M1
EL696508.1	M9
EL696509.1	M8
EL696510.1	M8
EL696511.1	M9
EL696514.1	M12
EL696516.1	M1
EL696518.1	M19
EL696521.1	M4
EL696522.1	M4
EL696523.1	M1
EL696524.1	M1
EL696525.1	M1
EL696527.1	M4
EL696529.1	M2
EL696533.1	M10
EL696534.1	M4
EL696535.1	M8
EL696537.1	M3
EL696538.1	M1
EL696541.1	M1
EL696542.1	M2
EL696545.1	M1
EL696547.1	M4
EL696551.1	M3
EL696552.1	M4
EL696554.1	M1
EL696555.1	M17
EL696557.1	M4
EL696561.1	M3
EL696564.1	M5
EL696565.1	M1
EL696569.1	M10
EL696570.1	M8
EL696576.1	M3
EL696582.1	M2
EL696583.1	M1
EL812777.1	M1
EL812780.1	M1
EU077526.1	M3
EU371046.1	M2
EU826058.1	M1
EU871044.1	M1
FJ670566.1	M18
FK250519.1	M4
GH624059.1	M3
GH624062.1	M1
GH624063.1	M1
GH624065.1	M9
GH624070.1	M3
GH624071.1	M3
GH624073.1	M3
GH624074.1	M3
GH624075.1	M13
GH624078.1	M13
GH624079.1	M7
GH624080.1	M13
GH624082.1	M13
GH624089.1	M13
GH624090.1	M13
GH624091.1	M13
GH624092.1	M7
GH624094.1	M7
GH624099.1	M13
GH624100.1	M7
GH624101.1	M13
GH624105.1	M7
GH624106.1	M8
GH624107.1	M4
GH624109.1	M1
GH624111.1	M1
GH624114.1	M1
GH624120.1	M4
GH624121.1	M4
GH624127.1	M4
GH624132.1	M3
GH624134.1	M3
GH624136.1	M4
GH624138.1	M4
GH624140.1	M2
GH624141.1	M4
GH624142.1	M3
GH624144.1	M1
GH624145.1	M1
GH624146.1	M1
GH624147.1	M12
GH624148.1	M3
GH624151.1	M4
GH624153.1	M4
GH624156.1	M1
GH624162.1	M4
GH624163.1	M4
GH624166.1	M16
GH624167.1	M4
GH624168.1	M1
GH624170.1	M3
GH624171.1	M3
GH624173.1	M13
GH624175.1	M13
GH624176.1	M13
GH624181.1	M2
GH624182.1	M2
GH624184.1	M2
GH624185.1	M4
GH624190.1	M4
GH624191.1	M4
GH624195.1	M3
GH624196.1	M3
GH624197.1	M2
GH624198.1	M2
GH624199.1	M2
GH624202.1	M1
GH624203.1	M1
GH624204.1	M2
GH624206.1	M9
GH624210.1	M4
GH624212.1	M1
GH624214.1	M1
GH624221.1	M1
GH624225.1	M3
GH624226.1	M4
GH624229.1	M3
GH624235.1	M1
GH624236.1	M1
GH624239.1	M1
GH624243.1	M1
GH624245.1	M1
GH624247.1	M1
GH624250.1	M1
GH624261.1	M13
GH624263.1	M7
GH624264.1	M6
GH624302.1	M16
GH624314.1	M2
